"","id","vendor_id","pickup_datetime","dropoff_datetime","passenger_count","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration"
"841831","id2273872",2,"2016-04-15 16:50:58","2016-04-15 17:57:32",1,-73.9833450317383,40.7498168945312,-73.7820434570312,40.6468467712402,"N",3994
"644685","id3088951",1,"2016-04-30 12:55:20","2016-04-30 13:12:20",1,-73.9621429443359,40.7793846130371,-73.9846878051758,40.7596664428711,"N",1020
"1062865","id1834409",1,"2016-05-05 12:02:01","2016-05-05 12:12:52",1,-73.9704132080078,40.7623443603516,-73.9618988037109,40.7780532836914,"N",651
"904867","id2607592",2,"2016-02-09 22:07:45","2016-02-09 22:11:35",1,-74.0046920776367,40.7416572570801,-74.0073394775391,40.73291015625,"N",230
"1243832","id0265366",1,"2016-03-29 14:34:47","2016-03-29 14:47:16",1,-73.9793167114258,40.7494468688965,-73.9890365600586,40.757984161377,"N",749
"596203","id0582691",2,"2016-02-10 17:43:42","2016-02-10 17:54:11",1,-73.9951705932617,40.727611541748,-74.0061950683594,40.7413063049316,"N",629
"118376","id3737871",2,"2016-02-16 08:33:27","2016-02-16 08:59:53",1,-73.9912033081055,40.6855812072754,-73.9502716064453,40.706371307373,"N",1586
"1381514","id2624796",2,"2016-03-06 18:56:02","2016-03-06 19:20:15",3,-73.9856185913086,40.7605400085449,-73.9890518188477,40.7315711975098,"N",1453
"1339909","id1856837",2,"2016-06-17 03:21:04","2016-06-17 03:29:57",1,-73.9891662597656,40.7187995910645,-73.9725952148438,40.7450294494629,"N",533
"1058799","id0532439",2,"2016-06-14 23:31:55","2016-06-14 23:49:51",6,-73.9916534423828,40.7597274780273,-74.014274597168,40.7084693908691,"N",1076
"1228184","id3701365",2,"2016-01-15 23:44:57","2016-01-15 23:55:44",1,-73.9901504516602,40.7618675231934,-73.9936904907227,40.7431793212891,"N",647
"1386745","id3769184",2,"2016-05-21 07:31:24","2016-05-21 07:37:09",3,-73.9971389770508,40.7368087768555,-73.9775390625,40.753719329834,"N",345
"843941","id2040620",1,"2016-04-28 19:52:45","2016-04-28 20:08:29",1,-73.9826812744141,40.7626342773438,-73.9520874023438,40.7693138122559,"N",944
"1220763","id0731828",2,"2016-04-04 15:15:53","2016-04-04 15:25:28",6,-73.9871673583984,40.7507209777832,-73.9723968505859,40.7461700439453,"N",575
"382313","id3585304",2,"2016-04-09 21:52:19","2016-04-09 21:59:53",1,-74.0010299682617,40.7408103942871,-73.9918594360352,40.7491302490234,"N",454
"816572","id0074282",2,"2016-06-19 15:11:41","2016-06-19 15:23:06",1,-73.9900588989258,40.7560997009277,-73.9868469238281,40.7449989318848,"N",685
"1002940","id2322970",1,"2016-05-02 20:56:18","2016-05-02 21:13:06",1,-74.0148239135742,40.7142677307129,-73.968994140625,40.757495880127,"N",1008
"1161758","id1224805",2,"2016-02-27 23:45:36","2016-02-27 23:53:24",1,-73.9872589111328,40.7388687133789,-73.9807968139648,40.7299003601074,"N",468
"1326047","id2050121",1,"2016-03-04 23:33:46","2016-03-04 23:52:02",1,-73.9723052978516,40.749755859375,-73.9899291992188,40.7152137756348,"N",1096
"1200702","id3300448",1,"2016-04-21 10:31:38","2016-04-21 10:39:25",1,-73.9825744628906,40.7520332336426,-73.9921569824219,40.7379112243652,"N",467
"435377","id1340329",1,"2016-05-18 21:48:01","2016-05-18 21:52:09",1,-73.9492263793945,40.7814292907715,-73.9534149169922,40.7724418640137,"N",248
"287503","id3316230",1,"2016-03-26 19:07:04","2016-03-26 19:39:05",1,-73.9826965332031,40.7774810791016,-73.8733062744141,40.7742576599121,"N",1921
"572092","id0071450",1,"2016-05-13 18:52:20","2016-05-13 19:19:49",1,-74.006103515625,40.7397766113281,-73.9850463867188,40.7684097290039,"N",1649
"372999","id3339911",2,"2016-06-09 19:03:16","2016-06-09 19:17:04",1,-73.9792098999023,40.7531700134277,-73.9553909301758,40.7879486083984,"N",828
"153750","id2754869",1,"2016-03-06 22:44:05","2016-03-06 23:16:26",4,-74.0040893554688,40.751953125,-73.9405746459961,40.8298759460449,"N",1941
"796494","id3083973",2,"2016-05-02 04:51:45","2016-05-02 05:15:12",1,-73.984977722168,40.7590713500977,-73.9356536865234,40.692440032959,"N",1407
"1261438","id0094491",1,"2016-03-06 20:41:22","2016-03-06 20:57:56",2,-73.9967651367188,40.7149276733398,-73.9857711791992,40.7524757385254,"N",994
"688958","id3586013",2,"2016-04-05 18:00:04","2016-04-05 18:11:28",4,-73.9661712646484,40.7654800415039,-73.9484710693359,40.774169921875,"N",684
"646679","id2688154",1,"2016-02-08 18:54:13","2016-02-08 19:00:31",1,-73.9736175537109,40.7581062316895,-73.9633102416992,40.7709007263184,"N",378
"399789","id0111379",2,"2016-04-08 17:57:32","2016-04-08 18:06:05",2,-73.9825592041016,40.7564659118652,-73.9895782470703,40.7398223876953,"N",513
"1063186","id2094390",2,"2016-05-20 15:23:05","2016-05-20 15:42:10",5,-73.9911804199219,40.7576904296875,-73.981201171875,40.7825317382812,"N",1145
"111808","id3623680",1,"2016-06-12 21:20:48","2016-06-12 21:25:07",1,-73.9960556030273,40.7433433532715,-73.9877319335938,40.732837677002,"N",259
"175304","id0603247",1,"2016-04-03 12:53:01","2016-04-03 12:56:16",1,-73.9488983154297,40.7737350463867,-73.9524307250977,40.7808952331543,"N",195
"112816","id2386266",1,"2016-02-27 13:18:56","2016-02-27 13:21:23",2,-73.9774169921875,40.7865753173828,-73.9731597900391,40.7923545837402,"N",147
"1029634","id3454031",2,"2016-05-20 23:16:18","2016-05-20 23:34:35",1,-73.9705123901367,40.754997253418,-73.9900512695312,40.7571868896484,"N",1097
"1300511","id1374296",2,"2016-05-05 15:41:32","2016-05-05 16:11:59",2,-73.9828720092773,40.7479705810547,-73.9816970825195,40.6902961730957,"N",1827
"172062","id2877482",1,"2016-03-30 21:23:44","2016-03-30 21:58:06",2,-73.8719940185547,40.7742652893066,-73.7051162719727,41.0465927124023,"N",2062
"1024176","id1286246",2,"2016-04-05 07:48:11","2016-04-05 08:09:39",1,-73.9633483886719,40.803768157959,-73.9834899902344,40.7711791992188,"N",1288
"1002538","id2186865",1,"2016-06-29 20:48:02","2016-06-29 21:04:39",2,-73.9001846313477,40.7411308288574,-73.9945373535156,40.7454872131348,"Y",997
"816883","id1542352",2,"2016-02-13 23:53:03","2016-02-14 00:08:01",1,-73.9856033325195,40.7292861938477,-73.9973220825195,40.7180252075195,"N",898
"272851","id2744779",2,"2016-03-04 02:30:50","2016-03-04 02:39:48",1,-73.9972305297852,40.7221908569336,-74.0001983642578,40.7347793579102,"N",538
"997081","id1536876",1,"2016-03-01 11:32:53","2016-03-01 11:51:50",1,-74.009147644043,40.7039184570312,-73.9638671875,40.7662391662598,"N",1137
"1359285","id3295431",2,"2016-02-21 18:55:01","2016-02-21 19:24:39",6,-73.8633422851562,40.7700080871582,-73.9914932250977,40.7246131896973,"N",1778
"69698","id2042528",1,"2016-04-17 10:51:28","2016-04-17 10:58:22",1,-73.986083984375,40.7598266601562,-73.9947280883789,40.7505493164062,"N",414
"519088","id0718649",1,"2016-01-01 00:42:07","2016-01-01 00:46:00",2,-73.9729690551758,40.7588768005371,-73.9635772705078,40.7656517028809,"N",233
"1182084","id3238715",1,"2016-02-18 16:40:36","2016-02-18 16:58:41",1,-73.9895782470703,40.7203636169434,-74.0106887817383,40.7162551879883,"N",1085
"123614","id1103804",2,"2016-05-14 20:20:48","2016-05-14 21:03:10",1,-73.7893829345703,40.6469688415527,-73.9614562988281,40.813289642334,"N",2542
"452976","id0556474",2,"2016-04-16 19:33:35","2016-04-16 19:41:47",2,-73.9714126586914,40.7874412536621,-73.9665145874023,40.7664184570312,"N",492
"1053064","id2816135",1,"2016-06-14 07:06:40","2016-06-14 07:26:01",1,-73.9566192626953,40.7667465209961,-73.995475769043,40.7615051269531,"N",1161
"541540","id1407806",1,"2016-03-05 12:08:03","2016-03-05 12:19:33",2,-73.9870529174805,40.7446746826172,-73.9598007202148,40.7794799804688,"N",690
"722572","id2841475",1,"2016-05-07 11:56:37","2016-05-07 12:18:07",1,-73.9730224609375,40.7499237060547,-73.8604888916016,40.7290077209473,"N",1290
"317435","id2520776",2,"2016-04-04 19:48:21","2016-04-04 19:53:58",5,-73.9952621459961,40.7446784973145,-73.9984436035156,40.7543601989746,"N",337
"914006","id1368216",2,"2016-05-16 13:47:44","2016-05-16 14:02:49",2,-73.9696655273438,40.7529754638672,-73.9911651611328,40.7491416931152,"N",905
"114772","id0998200",2,"2016-05-25 09:04:46","2016-05-25 09:10:02",1,-73.9925384521484,40.7340469360352,-73.993537902832,40.742000579834,"N",316
"268242","id3189828",1,"2016-06-15 15:11:26","2016-06-15 15:18:25",1,-73.9700927734375,40.7654151916504,-73.9766082763672,40.7546463012695,"N",419
"705975","id2047430",1,"2016-01-21 22:41:11","2016-01-21 23:12:58",1,-73.8637084960938,40.7691612243652,-74.0260925292969,40.6278495788574,"N",1907
"158321","id1358977",2,"2016-02-18 11:54:25","2016-02-18 11:56:39",2,-73.9818725585938,40.7577018737793,-73.978157043457,40.7630615234375,"N",134
"999670","id1301296",2,"2016-02-20 23:53:28","2016-02-21 00:23:20",4,-73.9811401367188,40.7376899719238,-73.9859619140625,40.7189407348633,"N",1792
"868651","id2536842",1,"2016-06-27 04:37:05","2016-06-27 04:49:38",1,-73.9266586303711,40.7036018371582,-73.9551544189453,40.7357635498047,"N",753
"528190","id0444647",2,"2016-04-03 19:34:17","2016-04-03 19:39:44",2,-73.9877624511719,40.7600517272949,-73.9817581176758,40.7769317626953,"N",327
"538108","id2345422",2,"2016-06-15 22:37:27","2016-06-15 22:49:18",1,-73.9817199707031,40.746898651123,-74.0089569091797,40.7175903320312,"N",711
"619801","id0108531",2,"2016-02-09 06:48:57","2016-02-09 06:58:38",1,-73.9860687255859,40.7264595031738,-73.9711227416992,40.7612037658691,"N",581
"1133021","id1515862",1,"2016-03-06 00:44:04","2016-03-06 00:50:11",1,-73.9732894897461,40.7550315856934,-73.9827346801758,40.7607383728027,"N",367
"128452","id2323435",2,"2016-03-26 10:30:21","2016-03-26 10:45:54",2,-73.9846115112305,40.7428092956543,-74.0153579711914,40.7113800048828,"N",933
"318023","id3620394",2,"2016-05-17 07:47:19","2016-05-17 07:55:02",1,-73.9858093261719,40.746898651123,-73.9817581176758,40.7368583679199,"N",463
"1192916","id1565619",1,"2016-04-16 00:50:28","2016-04-16 01:04:32",2,-73.9802474975586,40.7264595031738,-73.9945678710938,40.7238616943359,"N",844
"1047581","id3473382",2,"2016-05-14 19:22:36","2016-05-14 19:33:52",1,-73.9525375366211,40.7868118286133,-73.9635009765625,40.761848449707,"N",676
"21348","id0155260",2,"2016-06-24 10:06:53","2016-06-24 10:29:27",1,-73.9815673828125,40.7326011657715,-73.9720077514648,40.7647590637207,"N",1354
"439834","id2920512",2,"2016-05-14 04:07:36","2016-05-14 04:31:53",6,-73.9833602905273,40.749439239502,-73.9139022827148,40.7733383178711,"N",1457
"1221434","id2683058",1,"2016-01-22 10:02:30","2016-01-22 10:22:10",1,-73.9480743408203,40.778980255127,-73.9711608886719,40.7602195739746,"N",1180
"1131890","id2416185",2,"2016-02-16 08:24:21","2016-02-16 08:43:00",1,-73.9719467163086,40.7619705200195,-74.0008926391602,40.7574577331543,"N",1119
"902709","id2992952",2,"2016-01-21 09:04:45","2016-01-21 09:41:24",1,-73.9810028076172,40.7207794189453,-73.9856033325195,40.7533416748047,"N",2199
"399631","id2266077",2,"2016-04-16 01:54:40","2016-04-16 02:04:37",1,-73.9836196899414,40.7259712219238,-73.9806137084961,40.7215194702148,"N",597
"311793","id1661552",2,"2016-01-27 18:33:09","2016-01-27 18:52:57",1,-73.9720077514648,40.7502708435059,-73.9911422729492,40.7332000732422,"N",1188
"1389868","id1477411",1,"2016-02-24 11:17:13","2016-02-24 12:05:41",1,-73.9912719726562,40.7452049255371,-73.91748046875,40.6840553283691,"N",2908
"916348","id2146640",1,"2016-01-24 12:48:25","2016-01-24 12:51:03",1,-73.9885101318359,40.7741470336914,-73.9820327758789,40.777458190918,"N",158
"1316473","id2190402",2,"2016-06-19 10:48:50","2016-06-19 10:54:48",1,-73.9873886108398,40.7003898620605,-73.9630584716797,40.6980094909668,"N",358
"750064","id1267788",2,"2016-01-29 21:22:31","2016-01-29 21:48:18",1,-74.0056228637695,40.7255897521973,-73.98828125,40.7641181945801,"N",1547
"436693","id0965864",2,"2016-02-01 09:11:45","2016-02-01 09:23:48",4,-73.9906234741211,40.7564430236816,-73.9729156494141,40.7616233825684,"N",723
"337295","id0030470",2,"2016-05-22 12:55:06","2016-05-22 13:01:26",6,-73.9824371337891,40.7682609558105,-73.9670181274414,40.7615814208984,"N",380
"806675","id2329407",2,"2016-02-23 22:55:36","2016-02-23 23:18:12",5,-74.0074768066406,40.7405319213867,-73.9875869750977,40.770378112793,"N",1356
"1099274","id0496078",1,"2016-01-06 12:19:40","2016-01-06 12:39:49",1,-73.9579925537109,40.7610816955566,-73.9818649291992,40.7513847351074,"N",1209
"1167060","id3291308",2,"2016-03-28 09:18:02","2016-03-28 09:35:39",1,-73.9518585205078,40.7902183532715,-73.9843673706055,40.7698936462402,"N",1057
"424655","id1459244",2,"2016-03-23 08:48:57","2016-03-23 08:55:09",1,-73.9900894165039,40.7292137145996,-73.9916305541992,40.7377433776855,"N",372
"1369129","id0462350",2,"2016-06-28 06:59:34","2016-06-28 07:27:33",1,-73.9814910888672,40.7574615478516,-73.8638229370117,40.7693099975586,"N",1679
"927780","id1121616",1,"2016-04-28 11:09:09","2016-04-28 11:21:53",1,-73.9610824584961,40.7577133178711,-73.9608840942383,40.7791900634766,"N",764
"297889","id3468702",2,"2016-06-07 10:36:32","2016-06-07 10:59:00",2,-73.9718551635742,40.7641563415527,-73.9761505126953,40.748291015625,"N",1348
"823810","id2401713",1,"2016-03-25 17:28:04","2016-03-25 17:37:09",1,-73.9884490966797,40.7785301208496,-73.9561309814453,40.7796783447266,"N",545
"307984","id1230013",1,"2016-05-22 17:00:52","2016-05-22 17:09:25",1,-73.9844284057617,40.7583122253418,-73.9916076660156,40.7499389648438,"N",513
"346943","id0799146",1,"2016-04-05 16:18:07","2016-04-05 17:57:28",1,-73.9921035766602,40.7489852905273,-73.9075164794922,40.8476448059082,"N",5961
"1105041","id3092179",1,"2016-05-04 21:13:34","2016-05-04 21:18:31",1,-73.9555130004883,40.7795906066895,-73.9417724609375,40.7903633117676,"N",297
"278603","id3332325",1,"2016-03-12 20:24:39","2016-03-12 20:27:25",1,-73.9679565429688,40.755500793457,-73.9738159179688,40.7546043395996,"N",166
"1114627","id2957158",1,"2016-05-25 13:43:15","2016-05-25 14:03:20",1,-73.9848861694336,40.768928527832,-73.9645843505859,40.7656631469727,"N",1205
"710044","id1930134",2,"2016-04-04 19:37:15","2016-04-04 19:52:17",1,-73.9813842773438,40.7738075256348,-73.9560699462891,40.7845268249512,"N",902
"1266574","id0377329",1,"2016-01-31 07:44:34","2016-01-31 07:50:43",1,-73.9870376586914,40.7505340576172,-73.9974899291992,40.7565307617188,"N",369
"1351924","id3832249",1,"2016-04-15 08:28:44","2016-04-15 08:32:42",2,-73.9638214111328,40.7655181884766,-73.9584274291992,40.7727508544922,"N",238
"933118","id3794250",2,"2016-05-01 17:14:54","2016-05-01 17:17:20",6,-73.9586715698242,40.7722320556641,-73.95361328125,40.7787017822266,"N",146
"572294","id0514363",1,"2016-01-17 22:48:14","2016-01-17 22:55:57",2,-73.9687423706055,40.7577514648438,-73.9877700805664,40.7704811096191,"N",463
"937586","id3063695",1,"2016-05-11 10:50:32","2016-05-11 11:16:16",1,-73.9893417358398,40.730281829834,-73.9673767089844,40.7607154846191,"N",1544
"774711","id0924273",1,"2016-02-26 17:58:14","2016-02-26 18:14:24",1,-73.9637756347656,40.8084945678711,-73.9814224243164,40.7801551818848,"N",970
"78206","id2493994",1,"2016-02-15 21:12:48","2016-02-15 21:19:16",2,-73.9821624755859,40.7748985290527,-73.9903335571289,40.759105682373,"N",388
"9647","id0779599",1,"2016-02-23 15:16:57","2016-02-23 15:21:08",1,-73.9537048339844,40.7818756103516,-73.9536514282227,40.7790832519531,"N",251
"806368","id2201783",2,"2016-02-06 13:27:41","2016-02-06 13:31:16",2,-73.9701461791992,40.7971801757812,-73.9728546142578,40.7917289733887,"N",215
"970589","id3709558",2,"2016-04-22 00:57:24","2016-04-22 01:08:44",4,-73.9821243286133,40.774112701416,-73.9516296386719,40.7808952331543,"N",680
"527436","id0329508",2,"2016-02-18 16:01:48","2016-02-18 16:17:59",1,-73.9809875488281,40.746452331543,-74.0054168701172,40.7512168884277,"N",971
"830555","id2652140",1,"2016-03-21 16:30:39","2016-03-21 16:50:10",1,-73.9542770385742,40.7641220092773,-74.0148468017578,40.7094688415527,"N",1171
"530532","id0646108",2,"2016-03-05 06:16:30","2016-03-05 06:26:29",5,-74.0100936889648,40.7124481201172,-73.9822998046875,40.7624282836914,"N",599
"33165","id2241019",1,"2016-02-26 23:57:31","2016-02-27 00:09:16",1,-73.9624557495117,40.7606239318848,-73.982421875,40.7557907104492,"N",705
"1049423","id1226046",2,"2016-02-18 23:03:01","2016-02-18 23:47:52",1,-73.8726119995117,40.7741508483887,-73.9776077270508,40.7879981994629,"N",2691
"231430","id1093323",1,"2016-01-15 21:29:34","2016-01-15 21:51:10",1,-73.9907379150391,40.7492904663086,-73.9875640869141,40.7216796875,"N",1296
"584202","id2382338",1,"2016-06-17 20:56:28","2016-06-17 21:07:23",1,-73.995002746582,40.7454032897949,-73.9940643310547,40.720573425293,"N",655
"450772","id2888566",1,"2016-04-07 01:39:47","2016-04-07 01:50:48",1,-73.9875030517578,40.7351722717285,-73.9486541748047,40.7264671325684,"N",661
"140652","id1824567",1,"2016-06-29 20:06:06","2016-06-29 20:29:39",1,-73.9487228393555,40.8092346191406,-74.0041809082031,40.7437973022461,"N",1413
"1087873","id0967721",1,"2016-03-25 09:07:09","2016-03-25 09:16:06",1,-73.8708724975586,40.7737007141113,-73.9206008911133,40.7680549621582,"N",537
"1016565","id0115724",1,"2016-02-18 17:17:33","2016-02-18 18:06:32",1,-74.0014801025391,40.7160148620605,-73.9062576293945,40.8299446105957,"N",2939
"967365","id3160409",2,"2016-04-19 00:11:07","2016-04-19 00:18:34",1,-73.969108581543,40.7664909362793,-73.9374923706055,40.8100814819336,"N",447
"115323","id0916993",1,"2016-01-18 18:49:54","2016-01-18 19:40:31",3,-73.7841339111328,40.648624420166,-73.9916152954102,40.7599029541016,"N",3037
"353187","id3931752",2,"2016-03-24 20:20:35","2016-03-24 20:51:58",2,-73.9823150634766,40.7623710632324,-74.008415222168,40.7058753967285,"N",1883
"1201822","id1561389",1,"2016-01-08 07:53:32","2016-01-08 08:17:15",1,-73.9459533691406,40.7772216796875,-74.000129699707,40.7268371582031,"N",1423
"967602","id1980136",2,"2016-02-11 17:24:16","2016-02-11 17:30:42",1,-73.9748001098633,40.7585563659668,-73.982063293457,40.7665023803711,"N",386
"275493","id2813172",1,"2016-06-18 02:19:11","2016-06-18 02:31:49",1,-73.7126541137695,40.736442565918,-73.803840637207,40.7356719970703,"N",758
"583744","id1319360",2,"2016-01-02 23:08:58","2016-01-02 23:21:15",1,-73.9867630004883,40.7587699890137,-73.9740982055664,40.7650108337402,"N",737
"1008235","id3325179",2,"2016-02-27 12:39:56","2016-02-27 12:42:10",1,-73.9321212768555,40.7596702575684,-73.9410934448242,40.7509307861328,"N",134
"826404","id3107708",1,"2016-01-07 19:23:08","2016-01-07 19:26:19",1,-73.9765777587891,40.7806739807129,-73.9794692993164,40.786750793457,"N",191
"958536","id0286963",1,"2016-01-29 08:30:42","2016-01-29 08:46:14",1,-73.9714050292969,40.7558860778809,-73.9866561889648,40.7563591003418,"N",932
"1054447","id2548931",1,"2016-03-20 09:28:23","2016-03-20 09:31:41",1,-73.9966278076172,40.7427711486816,-74.0046539306641,40.7225761413574,"N",198
"1258361","id0225218",2,"2016-04-18 18:54:38","2016-04-18 18:59:22",5,-73.9747314453125,40.7908401489258,-73.9728851318359,40.7825164794922,"N",284
"1388284","id1310326",1,"2016-04-08 22:11:11","2016-04-08 22:30:16",1,-73.8708648681641,40.7738609313965,-73.9635696411133,40.775260925293,"N",1145
"708355","id1758099",1,"2016-05-01 00:12:30","2016-05-01 00:43:28",1,-73.9873123168945,40.7204551696777,-73.9492340087891,40.7785873413086,"N",1858
"1008797","id1527677",2,"2016-01-20 06:16:23","2016-01-20 06:17:56",1,-73.9823455810547,40.735954284668,-73.9894332885742,40.7384796142578,"N",93
"792594","id2991236",1,"2016-05-13 08:39:35","2016-05-13 08:43:51",1,-73.9657363891602,40.7594528198242,-73.9741744995117,40.7628631591797,"N",256
"480003","id2912573",2,"2016-02-06 23:18:10","2016-02-06 23:29:14",5,-73.9894332885742,40.726261138916,-73.9938507080078,40.721118927002,"N",664
"427003","id2262460",1,"2016-04-26 19:03:33","2016-04-26 19:12:12",1,-73.9700241088867,40.7595138549805,-73.9800186157227,40.7457618713379,"N",519
"131070","id2804766",2,"2016-04-18 07:36:59","2016-04-18 07:43:37",1,-73.9897003173828,40.7566986083984,-73.9817352294922,40.7522468566895,"N",398
"546186","id2355937",2,"2016-04-19 12:18:01","2016-04-19 12:26:17",1,-73.9990234375,40.7382202148438,-73.991096496582,40.7328910827637,"N",496
"1081447","id0547320",1,"2016-06-19 02:40:58","2016-06-19 02:46:29",1,-74.0074310302734,40.7410469055176,-74.002685546875,40.7497825622559,"N",331
"911482","id1561913",1,"2016-04-30 12:18:30","2016-04-30 12:23:05",1,-73.9585723876953,40.7680511474609,-73.9604415893555,40.761417388916,"N",275
"7492","id2241559",2,"2016-02-18 11:22:44","2016-02-18 11:40:43",6,-73.9782409667969,40.7546005249023,-73.9726104736328,40.7807006835938,"N",1079
"1189225","id2201445",2,"2016-04-05 14:28:06","2016-04-05 14:34:45",1,-73.9728546142578,40.7614898681641,-73.9632797241211,40.7621231079102,"N",399
"186740","id3855359",1,"2016-06-19 00:51:26","2016-06-19 01:03:29",3,-73.9383010864258,40.792163848877,-73.870246887207,40.7671813964844,"N",723
"171487","id2248159",2,"2016-03-28 13:33:01","2016-03-28 13:55:24",3,-73.9893264770508,40.7680015563965,-73.9505004882812,40.7833862304688,"N",1343
"592128","id1498062",1,"2016-04-10 13:38:09","2016-04-10 13:44:07",1,-73.9701766967773,40.7559242248535,-73.9596405029297,40.7691383361816,"N",358
"1279352","id0486865",2,"2016-04-13 15:26:21","2016-04-13 15:33:34",1,-73.9942016601562,40.7591133117676,-73.9909973144531,40.7478637695312,"N",433
"430472","id2546785",2,"2016-04-22 11:36:52","2016-04-22 11:52:59",1,-73.9857177734375,40.7529258728027,-73.9704437255859,40.752628326416,"N",967
"1149845","id2037788",2,"2016-03-19 01:18:36","2016-03-19 01:23:40",1,-73.9785079956055,40.7451400756836,-73.9662933349609,40.7616004943848,"N",304
"586905","id1397864",2,"2016-05-11 15:10:25","2016-05-11 16:00:25",1,-74.0006484985352,40.7221412658691,-73.9382781982422,40.7518997192383,"N",3000
"230550","id3209158",2,"2016-01-20 20:32:24","2016-01-20 20:37:55",5,-73.9731674194336,40.7614212036133,-73.9580917358398,40.7817001342773,"N",331
"232495","id2531235",2,"2016-01-21 16:40:40","2016-01-21 16:50:20",1,-73.980827331543,40.7555694580078,-73.9960403442383,40.7624206542969,"N",580
"789380","id2725156",1,"2016-01-09 15:21:07","2016-01-09 15:27:11",1,-73.990837097168,40.7438583374023,-73.995735168457,40.7334136962891,"N",364
"174584","id3110417",1,"2016-06-16 16:21:13","2016-06-16 16:28:39",1,-74.0062561035156,40.7343368530273,-73.9976043701172,40.732837677002,"N",446
"424992","id2551829",2,"2016-04-22 19:16:22","2016-04-22 19:36:10",2,-73.9856109619141,40.7678833007812,-73.9912643432617,40.749885559082,"N",1188
"92126","id0889202",1,"2016-05-28 18:25:01","2016-05-28 18:46:07",3,-73.9993286132812,40.725040435791,-73.98486328125,40.7685813903809,"N",1266
"1385969","id0664829",1,"2016-02-06 00:38:30","2016-02-06 00:48:39",1,-73.9890899658203,40.7260971069336,-73.9741287231445,40.7480773925781,"N",609
"1383373","id0226747",2,"2016-01-24 18:16:49","2016-01-24 18:37:49",1,-73.9993209838867,40.7603492736816,-73.9442520141602,40.7450904846191,"N",1260
"408726","id1205233",1,"2016-02-11 18:37:35","2016-02-11 18:44:28",2,-73.9832916259766,40.7381134033203,-73.9834518432617,40.7262687683105,"N",413
"647214","id1501714",1,"2016-02-28 02:13:10","2016-02-28 02:18:52",2,-73.991828918457,40.7265167236328,-74.0003967285156,40.7313232421875,"N",342
"459174","id1209200",1,"2016-04-20 08:18:46","2016-04-20 08:26:19",1,-73.9781646728516,40.7665634155273,-73.9632797241211,40.7626914978027,"N",453
"1050090","id3549936",2,"2016-06-04 14:55:55","2016-06-04 15:28:52",1,-73.8629608154297,40.7690696716309,-73.9908218383789,40.7295989990234,"N",1977
"45948","id1855526",1,"2016-02-09 22:39:37","2016-02-09 22:49:02",3,-73.9816665649414,40.7464485168457,-73.9807739257812,40.7630500793457,"N",565
